model,feature_set,test_load,n_train_windows,n_test_windows,n_features,accuracy,macro_f1
Logistic Regression,baseline,0,3510,1170,11,0.335042735042735,0.3553755002813317
Random Forest,baseline,0,3510,1170,11,0.8854700854700854,0.9008407589957428
XGBoost,baseline,0,3510,1170,11,0.8854700854700854,0.861847976414448
Logistic Regression,baseline,1,3510,1170,11,0.8829059829059829,0.9010111675677275
Random Forest,baseline,1,3510,1170,11,0.9957264957264957,0.9964387175940579
XGBoost,baseline,1,3510,1170,11,0.9957264957264957,0.9964386670685638
Logistic Regression,baseline,2,3510,1170,11,0.8897435897435897,0.9063865616058144
Random Forest,baseline,2,3510,1170,11,0.994017094017094,0.9950141038015512
XGBoost,baseline,2,3510,1170,11,0.9965811965811966,0.9971509855884856
Logistic Regression,baseline,3,3510,1170,11,0.7521367521367521,0.7387053853401948
Random Forest,baseline,3,3510,1170,11,0.9435897435897436,0.9535534771302823
XGBoost,baseline,3,3510,1170,11,0.9777777777777777,0.9808334450161627
Logistic Regression,enhanced,0,3510,1170,17,0.5367521367521367,0.5233695405879535
Random Forest,enhanced,0,3510,1170,17,0.9829059829059829,0.9836222797420434
XGBoost,enhanced,0,3510,1170,17,0.9623931623931624,0.9686068853509897
Logistic Regression,enhanced,1,3510,1170,17,0.9829059829059829,0.9856811604653104
Random Forest,enhanced,1,3510,1170,17,0.9965811965811966,0.9971468806980984
XGBoost,enhanced,1,3510,1170,17,0.9948717948717949,0.9957181697185788
Logistic Regression,enhanced,2,3510,1170,17,0.9974358974358974,0.9978622303684246
Random Forest,enhanced,2,3510,1170,17,1.0,1.0
XGBoost,enhanced,2,3510,1170,17,0.9991452991452991,0.9992877478424441
Logistic Regression,enhanced,3,3510,1170,17,0.9854700854700855,0.9878955344850557
Random Forest,enhanced,3,3510,1170,17,0.9658119658119658,0.9717535384354606
XGBoost,enhanced,3,3510,1170,17,0.9897435897435898,0.9914760939981714
